B_cite	B_oid	B_name	P	witnesses_B+P	G_cite	G_oid	G_name	witnesses_G+P	note
2000 ND 213	18360	Matrix Properties, Corp. v. TAG In	622 N.W.2d 432	6	2000 ND 211	13321	Syvertson v. Malaktaris, et al.	0	
2004 ND 221	14162	State v. Ernst	691 N.W.2d 193	2	2004 ND 222	14161	State v. Bates	0	
2006 ND 95	18591	State v. Wheeler   (Cons. w/200502	719 N.W.2d 384	1	2006 ND 93	18589	Clifford  v. Redmann	1	
2007 ND 75	18636	Rydell GM Auto Center v. Johnson	734 N.W.2d 342	2	2007 ND 55	18623	Kessel v. Rutherford, et al.	1	
2008 ND 119	18648	State v. Schmeets     (Consolidate	756 N.W.2d 344	1	2008 ND 118	18647	Riemers, et al. v. State, et al.	0	
2009 ND 3	18714	State v. Huffling	763 N.W.2d 799	3	2009 ND 6	15170	State v. Vick	0	
2009 ND 64	18727	Clifford v. State	767 N.W.2d 529	1	2009 ND 65	15217	Asset Acceptance LLC v. Grzeskowia	1	
2010 ND 63	15389	State v. Wolfer	780 N.W.2d 660	1	2010 ND 62	15392	Laib v. Laib	6	
2011 ND 16	18809	Foreid v. State (cross-reference w	798 N.W.2d 878	1	2011 ND 13	15642	Rudolph v. State	1	
2011 ND 166	15709	Miller v. Mees	802 N.W.2d 158	1	2011 ND 160	15710	James Valley Grain v. David	4	
2011 ND 195	18822	State v. Baatz	806 N.W.2d 438	5	2011 ND 198	15743	Tarnavsky, et al. v. Tarnavsky, et	3	
2011 ND 199	18824	Holkesvig v. Moore	806 N.W.2d 438	6	2011 ND 198	15743	Tarnavsky, et al. v. Tarnavsky, et	3	
2011 ND 73	18845	Matter of J.G. (CONFIDENTIAL)	799 N.W.2d 406	1	2011 ND 83	15656	A.R. Audit Services, Inc. v. Ulled	1	
2012 ND 191	18874	Matter of Hehn (cross-reference 20	821 N.W.2d 385	3	2012 ND 196	20505	Bank of North Dakota v. Brown, et 	1	
2013 ND 113	18936	State v. Hamilton	837 N.W.2d 159	2	2013 ND 115	16111	State v. Carpenter (cross-referenc	0	
2014 ND 211	19032	State v. Nguyen (cross-ref. w/2013	858 N.W.2d 652	1	2014 ND 217	16404	Bentz v. State	0	
2014 ND 99	19052	State v. Gates	859 N.W.2d 929	2	2014 ND 59	16420	State v. Johnson (cross ref. w/201	0	
2015 ND 83	19134	Curtiss v. State	865 N.W.2d 124	1	2015 ND 86	16519	Mesch v. Levi	0	
2016 ND 118	19143	Comes v. State	881 N.W.2d 256	2	2016 ND 108	16739	Holkesvig v. Edison, et al.	0	
2016 ND 223	19177	Gonzalez v. State	888 N.W.2d 205	1	2016 ND 233	16817	CHS Inc. v. Riemers	4	
2017 ND 159	16963	O'Hara v. Schneider	897 N.W.2d 326	3	2017 ND 150	16962	Jasmann v. State	0	
2017 ND 169	16972	Mosser, et al. v. Denbury Resource	898 N.W.2d 406	12	2017 ND 164	16971	Interest of A.F.L. (CONFIDENTIAL)	0	
2017 ND 280	17100	State v. Sabot	904 N.W.2d 469	1	2017 ND 286	17099	Ceynar, et al. v. Barth, et al.	5	
2017 ND 82	16894	City of Gwinner v. Vincent	732 N.W.2d 389	1	2007 ND 82	14749	State v. Noack	43	
2017 ND 87	19238	State v. Caster	894 N.W.2d 908	1	2017 ND 89	16931	State v. Schnellbach	0	
2018 ND 109	17156	Wheeler v. Burgum	910 N.W.2d 845	1	2018 ND 104	17155	State v. Parks	0	
2018 ND 253	17320	Tornabeni v. Wold, et al.	920 N.W.2d 454	1	2018 ND 250	17319	Interest of D.V.A. (Confidential)	0	
2018 ND 75	17119	State of North Dakota v. Steven Wa	908 N.W.2d 697	1	2018 ND 74	17118	State v. Redtomahawk	0	
2018 ND 78	17125	State v. Terrill	908 N.W.2d 732	4	2018 ND 73	17124	State v. Mbulu	2	
2019 ND 5	17340	Lunde v. Paulson	921 N.W.2d 402	1	2019 ND 2	17339	DeLong v. Shields, et al.	0	
2019 ND 69	17422	Brewer v. State	924 N.W.2d 87	16	2019 ND 59	19457	State v. Gomez	0	
2020 ND 46	17603	Smithberg v. Jacobson, et al.	939 N.W.2d 405	1	2020 ND 45	17602	In the Interest of G.L.D.	1	
2021 ND 126	19590	Hussiene v. NDDOT	962 N.W.2d 400	2	2021 ND 122	17840	Dietzler v. Dietzler	0	
2021 ND 174	17876	State v. Demerais	964 N.W.2d 730	3	2021 ND 175	17875	State v. Marsolek	7	
2021 ND 216	17913	Swanson v. Larson	967 N.W.2d 778	3	2021 ND 219	17912	State v. Rieger	0	
2021 ND 239	17921	State v. Carrillo	968 N.W.2d 134	2	2021 ND 233	17920	Hehr v. Hehr	0	
2022 ND 21	17948	State v. Martinez	969 N.W.2d 442	1	2022 ND 20	17947	Simmons v. Cudd Pressure Control, 	4	
2022 ND 233	18118	Shafer v. Scarborough, et al.	982 N.W.2d 864	2	2022 ND 232	18117	Matter of Wolff	0	
2023 ND 57	18168	State v. Linner	988 N.W.2d 586	5	2023 ND 59	18167	Richardson v. State	0	
