idx	oid	para	db_token	pdf_token	status	file
0	12623	17	581	531	RENDERED	00_12623_p17_581-vs-531.png
1	12866	2	1996	1995	RENDERED	01_12866_p2_1996-vs-1995.png
2	12866	7	26	25	RENDERED	02_12866_p7_26-vs-25.png
3	13306	7	869	369	RENDERED	03_13306_p7_869-vs-369.png
4	13306	12	82	32	RENDERED	04_13306_p12_82-vs-32.png
5	13311	3	80	30	RENDERED	05_13311_p3_80-vs-30.png
6	13573	19	96	95	RENDERED	06_13573_p19_96-vs-95.png
7	13814	8	5	1	RENDERED	07_13814_p8_5-vs-1.png
8	14322	24	16	46	RENDERED	08_14322_p24_16-vs-46.png
9	14425	4	96	95	RENDERED	09_14425_p4_96-vs-95.png
10	15040	10	2003	2004	RENDERED	10_15040_p10_2003-vs-2004.png
11	15168	12	8	3	RENDERED	11_15168_p12_8-vs-3.png
12	15327	39	681	631	RENDERED	12_15327_p39_681-vs-631.png
13	15327	41	681	631	RENDERED	13_15327_p41_681-vs-631.png
14	15338	19	817	317	RENDERED	14_15338_p19_817-vs-317.png
15	15470	28	10	14	RENDERED	15_15470_p28_10-vs-14.png
16	15470	47	18	13	RENDERED	16_15470_p47_18-vs-13.png
17	15718	17	708	703	RENDERED	17_15718_p17_708-vs-703.png
18	15718	17	806	306	RENDERED	18_15718_p17_806-vs-306.png
19	15827	42	864	364	RENDERED	19_15827_p42_864-vs-364.png
20	15827	45	28	23	RENDERED	20_15827_p45_28-vs-23.png
21	15866	29	16	15	RENDERED	21_15866_p29_16-vs-15.png
22	15879	12	178	173	RENDERED	22_15879_p12_178-vs-173.png
23	15950	18	360	361	RENDERED	23_15950_p18_360-vs-361.png
24	15954	27	49	47	RENDERED	24_15954_p27_49-vs-47.png
25	15969	13	805	305	RENDERED	25_15969_p13_805-vs-305.png
26	15974	6	82	32	RENDERED	26_15974_p6_82-vs-32.png
27	16008	10	08	03	RENDERED	27_16008_p10_08-vs-03.png
28	16008	15	528	523	RENDERED	28_16008_p15_528-vs-523.png
29	16008	26	13	43	RENDERED	29_16008_p26_13-vs-43.png
30	16066	27	68	63	RENDERED	30_16066_p27_68-vs-63.png
31	16102	22	138	133	RENDERED	31_16102_p22_138-vs-133.png
32	16184	8	7	9	RENDERED	32_16184_p8_7-vs-9.png
33	16184	9	834	835	RENDERED	33_16184_p9_834-vs-835.png
34	16184	9	636	836	RENDERED	34_16184_p9_636-vs-836.png
35	16195	2	80	30	RENDERED	35_16195_p2_80-vs-30.png
36	16197	19	8	3	RENDERED	36_16197_p19_8-vs-3.png
37	16197	26	2008	2003	RENDERED	37_16197_p26_2008-vs-2003.png
38	16197	26	2008	2003	RENDERED	38_16197_p26_2008-vs-2003.png
39	16206	6	98	93	RENDERED	39_16206_p6_98-vs-93.png
40	16214	4	86	36	RENDERED	40_16214_p4_86-vs-36.png
41	16252	20	518	513	RENDERED	41_16252_p20_518-vs-513.png
42	16256	2	2018	2013	RENDERED	42_16256_p2_2018-vs-2013.png
43	16270	20	8	3	RENDERED	43_16270_p20_8-vs-3.png
44	16270	20	8	3	RENDERED	44_16270_p20_8-vs-3.png
45	16349	1	518	513	RENDERED	45_16349_p1_518-vs-513.png
46	16349	12	0580	0530	RENDERED	46_16349_p12_0580-vs-0530.png
47	16351	5	82	32	RENDERED	47_16351_p5_82-vs-32.png
48	16389	8	2	3	RENDERED	48_16389_p8_2-vs-3.png
49	16419	18	31	41	RENDERED	49_16419_p18_31-vs-41.png
50	16441	10	8	3	RENDERED	50_16441_p10_8-vs-3.png
51	16456	2	1998	1993	RENDERED	51_16456_p2_1998-vs-1993.png
52	16464	8	854	354	RENDERED	52_16464_p8_854-vs-354.png
53	16491	2	1988	1983	RENDERED	53_16491_p2_1988-vs-1983.png
54	16491	35	08	03	RENDERED	54_16491_p35_08-vs-03.png
55	16491	43	58	53	RENDERED	55_16491_p43_58-vs-53.png
56	16491	43	8	3	RENDERED	56_16491_p43_8-vs-3.png
57	16501	3	846	346	RENDERED	57_16501_p3_846-vs-346.png
58	16550	2	2018	2013	RENDERED	58_16550_p2_2018-vs-2013.png
59	16655	8	8	3	RENDERED	59_16655_p8_8-vs-3.png
60	16699	16	09	01	RENDERED	60_16699_p16_09-vs-01.png
61	16734	8	8	3	RENDERED	61_16734_p8_8-vs-3.png
62	16777	2	067	057	RENDERED	62_16777_p2_067-vs-057.png
63	16777	10	08	03	RENDERED	63_16777_p10_08-vs-03.png
64	16857	5	89	39	RENDERED	64_16857_p5_89-vs-39.png
65	16857	9	2008	2003	RENDERED	65_16857_p9_2008-vs-2003.png
66	16860	20	6	5	RENDERED	66_16860_p20_6-vs-5.png
67	16861	19	8	3	RENDERED	67_16861_p19_8-vs-3.png
68	16892	12	81	31	RENDERED	68_16892_p12_81-vs-31.png
69	16917	15	294	194	RENDERED	69_16917_p15_294-vs-194.png
70	17028	13	1964	1954	RENDERED	70_17028_p13_1964-vs-1954.png
71	17031	34	576	575	RENDERED	71_17031_p34_576-vs-575.png
